,StatementOne,StatementTwo,StatementThree,StatementFour,PostStatementOne,PostStatementTwo,PostStatementThree,PostStatementFour,MetaphorOne,MetaphorTwo,MetaphorThree,MetaphorFour,AppUsage[SQ001],AppUsage[SQ002],AppUsage[SQ003],AppUsage[SQ004],AppUsage[SQ005],AppUsage[SQ006],AppUsage[SQ007],AppUsage[SQ008],ask1,Age
190,False,True,False,True,True,False,True,True,,,,,Daily,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Daily,5,43
191,True,True,True,True,True,True,True,True,No,,,,"Installed, but rarely used",Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,1,24
192,True,True,True,True,False,True,False,True,,,No,,Not installed,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Daily,3,18
193,False,False,False,True,False,False,False,False,,Yes,,,Daily,Not installed,Not installed,Not installed,Daily,Weekly,Not installed,Not installed,2,22
194,False,True,False,True,False,True,False,True,,,,,Daily,Not installed,Not installed,Not installed,Not installed,"Installed, but rarely used",Not installed,Not installed,5,26
195,True,False,True,False,True,False,True,False,,Yes,,,Daily,Not installed,Not installed,Not installed,Not installed,Daily,"Installed, but rarely used",Not installed,2,24
196,False,False,False,False,True,True,True,True,,,,,Daily,Not installed,Not installed,Not installed,Daily,Daily,Not installed,Daily,5,26
197,True,True,True,True,True,True,True,True,,,,,Not installed,Not installed,Not installed,Not installed,Daily,Daily,Not installed,Not installed,5,33
198,False,True,False,True,True,False,True,True,,Yes,,,Daily,Not installed,Not installed,Not installed,Not installed,Monthly,Not installed,Not installed,2,25
199,True,False,True,True,True,False,True,True,,No,,,Weekly,Not installed,Not installed,Not installed,Weekly,Weekly,Not installed,Not installed,2,25
200,True,True,True,True,True,True,True,True,,,No,,Daily,Not installed,Not installed,Not installed,Daily,Monthly,Not installed,Not installed,3,38
201,True,False,True,True,True,False,True,True,,,,No,Daily,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,4,26
202,False,False,True,True,False,False,True,True,,,,,"Installed, but rarely used",Not installed,"Installed, but rarely used",Not installed,Not installed,Daily,Not installed,Monthly,5,46
203,False,True,False,True,False,True,False,True,,,,No,Daily,Not installed,Monthly,Daily,Not installed,Daily,Not installed,Daily,4,32
204,False,True,False,True,False,True,False,True,,,Yes,,Daily,Weekly,Monthly,Weekly,Not installed,Weekly,Not installed,Weekly,3,34
205,False,True,False,True,False,True,False,True,,,,,Daily,Not installed,Not installed,Not installed,Not installed,Not installed,Not installed,Not installed,5,38
206,True,False,True,True,True,False,True,True,No,,,,Not installed,Not installed,Not installed,Not installed,Daily,Daily,Not installed,Not installed,1,32
207,True,False,True,True,True,False,True,True,,,,,Not installed,Not installed,Not installed,Not installed,"Installed, but rarely used",Weekly,Not installed,Not installed,5,47
208,True,False,True,True,True,True,True,True,No,,,,Daily,Not installed,Not installed,Not installed,"Installed, but rarely used",Daily,Not installed,Daily,1,33
209,True,False,True,True,True,False,True,True,,,,Yes,Daily,Not installed,Not installed,Not installed,Weekly,Monthly,Not installed,Not installed,4,28
210,True,True,True,True,True,False,False,True,,,No,,Weekly,Not installed,Not installed,Not installed,Daily,Daily,Not installed,Not installed,3,39
211,False,False,False,True,False,True,False,True,,,No,,Daily,Not installed,Not installed,Not installed,Daily,Daily,Not installed,Not installed,3,21
